Date,Time,Femman_Temp,Femman_RH,Femman_GlobRad,Femman_AirPressure,Femman_WindSpeed,Femman_WindDir,Femman_Rain,Femman_NO2,Femman_O3,Femman_PM10,Femman_NOx,Femman_PM25,HagaNorra_NO2,HagaNorra_NOx,HagaSodra_PM10,HagaSodra_PM25,Lejonet_GlobRad,Lejonet_AirPressure,Lejonet_Rain,Lejonet_RH,Lejonet_Temp,Lejonet_WindDir,Lejonet_WindSpeed,Mobil1_NO2,Mobil1_NOx,Mobil1_PM10,Mobil2_NO2,Mobil2_NOx,Mobil2_PM10,Mobil3_NO2,Mobil3_NOx,Mobil3_PM10,Mobil2_PM25  
2023-01-01,01:00+01:00,        5.481,          98,           0,     997.474,       1.639,       207.9,           0,      14.103,            ,     42.9528,     13.9756,     31.0947,     12.6728,     13.5129,     40.9543,      34.192,           0,        1000,           0,        99.5,       5.351,       200.7,       1.383,     16.6152,     15.8849,     26.7054,     7.78893,      7.6805,     15.2133,     27.0053,     32.4055,     152.856,     10.8946
2023-01-01,02:00+01:00,        5.529,        99.3,           0,     997.362,       2.309,       191.2,           0,     10.4737,            ,      44.923,     9.78984,     32.7758,     12.2876,     12.8786,     20.4322,     16.9049,           0,        1000,           0,        99.5,        5.37,       172.1,        1.22,     17.6177,      16.537,     15.7838,     11.0392,     11.2917,     15.0043,     12.6472,     14.5261,     21.3518,     11.8211
2023-01-01,03:00+01:00,        5.545,         100,           0,     997.512,       1.552,       194.6,           0,     9.72116,            ,     17.9377,     9.07475,     11.7857,     10.2289,     10.7866,     7.89387,     5.13555,           0,        1000,           0,        99.5,       5.352,       193.8,       1.623,     16.3276,     15.4368,     6.63315,     9.16142,     9.16124,     8.64975,     11.1103,     12.2712,     9.56303,     6.21183
2023-01-01,04:00+01:00,        5.488,        99.8,           0,     997.548,       1.245,       185.3,           0,     7.69565,            ,     11.0732,     7.14774,     5.92921,     8.85321,     9.35503,     6.39097,      4.4145,           0,        1000,           0,        99.5,       5.328,       166.3,       0.998,      15.022,     14.3629,     4.01427,     6.72511,     6.13341,      8.6489,     9.45273,     12.3157,     5.17778,      6.4215
2023-01-01,05:00+01:00,        5.459,        93.6,           0,     997.622,       1.385,       198.4,           0,      5.3308,            ,     9.38016,     4.72638,      4.6694,     5.30708,     5.39819,     3.14002,     1.96862,           0,        1000,           0,        99.1,       5.038,       185.6,       1.089,     12.9767,     13.5176,     0.97035,     4.11213,     3.65649,     7.76768,     6.28138,     6.25854,     1.25138,     4.60312
2023-01-01,06:00+01:00,        5.284,        87.1,           0,     997.959,       1.992,       164.9,           0,     8.14217,            ,     7.49146,      7.7048,      3.7815,     6.78909,     6.92676,     2.05168,     1.93337,           0,        1000,           0,        96.9,       4.899,         133,       1.672,     11.7689,     11.8004,    -1.24378,     3.22982,     2.58661,     5.93401,     10.9725,     10.7907,    -3.33762,     3.40963
2023-01-01,07:00+01:00,        4.972,        87.3,           0,     998.558,       1.146,       156.2,         0.2,      6.2756,            ,     5.08492,     5.83978,     2.32475,     6.20177,     6.55122,     2.99998,     2.49053,           0,        1001,           0,        96.9,       4.638,       161.9,       1.311,     11.1667,     10.0371,    -0.22435,     4.18888,     3.81316,     4.88705,     6.76421,     6.62948,     2.27628,     2.65347
2023-01-01,08:00+01:00,        4.789,        86.8,       0.169,     998.912,       1.748,         172,         0.2,     4.38577,            ,     5.06057,     3.79491,     2.36703,     3.91921,     4.07692,     2.93303,     2.12193,       0.166,        1001,           0,          98,       4.331,       161.8,       1.242,     7.11552,     4.75972,      1.7305,     3.90068,     3.52921,     3.51653,     5.40354,     5.23467,     1.60205,      1.9956
2023-01-01,09:00+01:00,        4.381,        88.2,       3.843,     999.545,       1.891,       164.5,           0,     5.75797,            ,     5.86615,     5.30653,     3.23912,     3.25811,     3.31245,     2.43908,      2.3047,       3.552,        1002,           0,        98.6,       4.068,       167.8,       1.209,     9.20157,     7.78605,   -0.338068,     2.36129,     1.88728,     3.33785,     5.51279,     5.37122, 0.000299915,     1.74992
2023-01-01,10:00+01:00,        4.134,        93.4,       24.54,     999.989,        2.57,       138.8,         0.4,     4.18167,            ,     1.94077,     3.48936,   -0.125433,     3.61277,      3.8583,     2.26748,      2.1217,       25.79,        1002,           0,        99.5,       3.892,           0,       1.994,     6.32071,     4.37263,    0.562834,     2.65355,     1.90145,     3.21625,     4.76306,     6.96645,      1.8492,      1.6323
2023-01-01,11:00+01:00,        3.747,        95.4,       6.009,      1000.6,       1.229,       145.6,           0,     4.58115,            ,     4.64793,     4.03342,     2.51973,     4.24236,     4.80215,     2.45892,       1.915,       6.063,        1003,           0,        99.5,       3.634,       127.7,       1.242,     6.66587,     5.09462,     2.63585,     2.36288,     2.01368,     2.70903,     5.17661,      8.6342,     2.47143,     1.59132
